n	L	model	dist	prop_openm	k	m	clusters	open_minded_cl	time_steps	froozen	min_diff
1000000	4.5	prop	unif	0.3	0.9	0.0	700002	2	40	FALSE	3.9968028886505635e-14
1000000	4.5	prop	unif	0.4	0.9	0.0	600001	1	40	FALSE	3.33422178755427e-12
1000000	4.5	prop	unif	0.5	0.9	0.0	500002	2	40	FALSE	1.929967297087387e-11
1000000	4.5	prop	unif	0.6	0.9	0.0	400001	1	40	FALSE	1.2227219237104237e-11
1000000	4.5	prop	unif	0.7	0.9	0.0	300001	1	40	FALSE	8.534672968352197e-11
1000000	4.6	prop	unif	0.3	0.9	0.0	700001	1	40	FALSE	5.073386155629578e-12
1000000	4.6	prop	unif	0.4	0.9	0.0	600001	1	40	FALSE	4.2010839251815923e-11
1000000	4.6	prop	unif	0.5	0.9	0.0	500001	1	40	FALSE	1.1457057524921765e-11
1000000	4.6	prop	unif	0.6	0.9	0.0	400001	1	40	FALSE	1.852207276442641e-11
1000000	4.6	prop	unif	0.7	0.9	0.0	300001	1	40	FALSE	6.223721538134441e-11
1000000	4.7	prop	unif	0.3	0.9	0.0	700001	1	40	FALSE	1.120215031846783e-11
1000000	4.7	prop	unif	0.4	0.9	0.0	600002	2	40	FALSE	3.4938718584953676e-12
1000000	4.7	prop	unif	0.5	0.9	0.0	500002	2	40	FALSE	2.2386537068541656e-12
1000000	4.7	prop	unif	0.6	0.9	0.0	400001	1	40	FALSE	2.638245177877252e-11
1000000	4.7	prop	unif	0.7	0.9	0.0	300001	1	40	FALSE	1.1473488825686218e-11
1000000	4.8	prop	unif	0.3	0.9	0.0	700001	1	40	FALSE	1.1010081735207677e-12
1000000	4.8	prop	unif	0.4	0.9	0.0	600001	1	40	FALSE	2.8824942432947864e-11
1000000	4.8	prop	unif	0.5	0.9	0.0	500001	1	40	FALSE	7.964795489812104e-12
1000000	4.8	prop	unif	0.6	0.9	0.0	400001	1	40	FALSE	2.5397239866720156e-11
1000000	4.8	prop	unif	0.7	0.9	0.0	300001	1	40	FALSE	5.7617022264366824e-11
1000000	4.9	prop	unif	0.3	0.9	0.0	700001	1	40	FALSE	8.553158181712206e-13
1000000	4.9	prop	unif	0.4	0.9	0.0	600002	2	40	FALSE	3.3306690738754696e-13
1000000	4.9	prop	unif	0.5	0.9	0.0	500001	1	40	FALSE	1.717337383411177e-11
1000000	4.9	prop	unif	0.6	0.9	0.0	400001	1	40	FALSE	2.4343194127141032e-11
1000000	4.9	prop	unif	0.7	0.9	0.0	300001	1	40	FALSE	1.1395467902630685e-10
1000000	5.0	prop	unif	0.3	0.9	0.0	700001	1	40	FALSE	7.555289727179115e-12
1000000	5.0	prop	unif	0.4	0.9	0.0	600001	1	40	FALSE	1.0373923942097463e-12
1000000	5.0	prop	unif	0.5	0.9	0.0	500001	1	40	FALSE	2.319477943046877e-11
1000000	5.0	prop	unif	0.6	0.9	0.0	400002	2	40	FALSE	2.3782753544310253e-11
1000000	5.0	prop	unif	0.7	0.9	0.0	300001	1	40	FALSE	4.150901844468535e-11
1000000	5.1	prop	unif	0.3	0.9	0.0	700001	1	40	FALSE	4.958700117185799e-11
1000000	5.1	prop	unif	0.4	0.9	0.0	600001	1	40	FALSE	1.2171375018965591e-11
1000000	5.1	prop	unif	0.5	0.9	0.0	500001	1	40	FALSE	1.3369444440414213e-11
1000000	5.1	prop	unif	0.6	0.9	0.0	400002	2	40	FALSE	1.8355095221522788e-11
1000000	5.1	prop	unif	0.7	0.9	0.0	300001	1	40	FALSE	1.0726530774718412e-11
1000000	5.2	prop	unif	0.3	0.9	0.0	700002	2	40	FALSE	2.2215562722749382e-12
1000000	5.2	prop	unif	0.4	0.9	0.0	600001	1	40	FALSE	9.670486633694964e-12
1000000	5.2	prop	unif	0.5	0.9	0.0	500002	2	40	FALSE	2.7191582319119334e-12
1000000	5.2	prop	unif	0.6	0.9	0.0	400002	2	40	FALSE	1.7195578294604275e-11
1000000	5.2	prop	unif	0.7	0.9	0.0	300002	2	40	FALSE	2.6643132144954507e-11
1000000	5.3	prop	unif	0.3	0.9	0.0	700001	1	40	FALSE	1.4567014261501754e-11
1000000	5.3	prop	unif	0.4	0.9	0.0	600002	2	40	FALSE	7.59170504238682e-12
1000000	5.3	prop	unif	0.5	0.9	0.0	500002	2	40	FALSE	1.9930945782675735e-11
1000000	5.3	prop	unif	0.6	0.9	0.0	400001	1	40	FALSE	1.0905365499525033e-10
1000000	5.3	prop	unif	0.7	0.9	0.0	300002	2	40	FALSE	3.467048870220424e-11
1000000	5.4	prop	unif	0.3	0.9	0.0	700002	2	40	FALSE	1.3165468715214956e-11
1000000	5.4	prop	unif	0.4	0.9	0.0	600001	1	40	FALSE	4.235056749735122e-12
1000000	5.4	prop	unif	0.5	0.9	0.0	500002	2	40	FALSE	3.0826008412532246e-11
1000000	5.4	prop	unif	0.6	0.9	0.0	400002	2	40	FALSE	4.713562873348565e-12
1000000	5.4	prop	unif	0.7	0.9	0.0	300001	1	40	FALSE	8.773337611955867e-11
1000000	5.5	prop	unif	0.3	0.9	0.0	700001	1	40	FALSE	8.095746295566641e-13
1000000	5.5	prop	unif	0.4	0.9	0.0	600001	1	40	FALSE	1.676281335960539e-11
1000000	5.5	prop	unif	0.5	0.9	0.0	500002	2	40	FALSE	1.234212732015294e-11
1000000	5.5	prop	unif	0.6	0.9	0.0	400002	2	40	FALSE	9.167289150013858e-11
1000000	5.5	prop	unif	0.7	0.9	0.0	300002	2	40	FALSE	1.8561818748707992e-11
1000000	5.6	prop	unif	0.3	0.9	0.0	700002	2	40	FALSE	5.022204874194358e-12
1000000	5.6	prop	unif	0.4	0.9	0.0	600002	2	40	FALSE	9.307221660037612e-12
1000000	5.6	prop	unif	0.5	0.9	0.0	500002	2	40	FALSE	7.973177673648024e-12
1000000	5.6	prop	unif	0.6	0.9	0.0	400001	1	40	FALSE	6.400169283438117e-11
1000000	5.6	prop	unif	0.7	0.9	0.0	300001	1	40	FALSE	7.371173116332841e-12
1000000	5.7	prop	unif	0.3	0.9	0.0	700001	1	40	FALSE	1.439737218333903e-12
1000000	5.7	prop	unif	0.4	0.9	0.0	600002	2	40	FALSE	3.461231301571388e-12
1000000	5.7	prop	unif	0.5	0.9	0.0	500002	2	40	FALSE	2.1804780203638074e-12
1000000	5.7	prop	unif	0.6	0.9	0.0	400001	1	40	FALSE	2.702060797332706e-12
1000000	5.7	prop	unif	0.7	0.9	0.0	300001	1	40	FALSE	1.9806378759312793e-11
1000000	5.8	prop	unif	0.3	0.9	0.0	700001	1	40	FALSE	7.398526236102043e-13
1000000	5.8	prop	unif	0.4	0.9	0.0	600001	1	40	FALSE	2.632249973544276e-11
1000000	5.8	prop	unif	0.5	0.9	0.0	500001	1	40	FALSE	2.978817192911265e-11
1000000	5.8	prop	unif	0.6	0.9	0.0	400002	2	40	FALSE	1.847486608141935e-10
1000000	5.8	prop	unif	0.7	0.9	0.0	300002	2	40	FALSE	4.7167825201199776e-11
1000000	5.9	prop	unif	0.3	0.9	0.0	700002	2	40	FALSE	1.1819434320159417e-11
1000000	5.9	prop	unif	0.4	0.9	0.0	600002	2	40	FALSE	5.684341886080802e-14
1000000	5.9	prop	unif	0.5	0.9	0.0	500002	2	40	FALSE	1.2978840224775468e-11
1000000	5.9	prop	unif	0.6	0.9	0.0	400001	1	40	FALSE	3.0690838759284134e-11
1000000	5.9	prop	unif	0.7	0.9	0.0	300002	2	40	FALSE	5.977929262712678e-11
1000000	6.0	prop	unif	0.3	0.9	0.0	700001	1	40	FALSE	6.773248628633155e-12
1000000	6.0	prop	unif	0.4	0.9	0.0	600002	2	40	FALSE	5.149214388211476e-12
1000000	6.0	prop	unif	0.5	0.9	0.0	500002	2	40	FALSE	1.0252243498598546e-11
1000000	6.0	prop	unif	0.6	0.9	0.0	400001	1	40	FALSE	4.766587125004662e-11
1000000	6.0	prop	unif	0.7	0.9	0.0	300002	2	40	FALSE	3.33191252366305e-11
1000000	6.1	prop	unif	0.3	0.9	0.0	700002	2	40	FALSE	1.0416556506243069e-11
1000000	6.1	prop	unif	0.4	0.9	0.0	600001	1	40	FALSE	1.9624968317089042e-11
1000000	6.1	prop	unif	0.5	0.9	0.0	500001	1	40	FALSE	9.890310792570745e-12
1000000	6.1	prop	unif	0.6	0.9	0.0	400002	2	40	FALSE	9.328537942110415e-12
1000000	6.1	prop	unif	0.7	0.9	0.0	300002	2	40	FALSE	1.880007260979255e-11
1000000	6.2	prop	unif	0.3	0.9	0.0	700001	1	40	FALSE	1.8602008822199423e-11
1000000	6.2	prop	unif	0.4	0.9	0.0	600001	1	40	FALSE	6.179057265853771e-12
1000000	6.2	prop	unif	0.5	0.9	0.0	500002	2	40	FALSE	1.3343992577574681e-11
1000000	6.2	prop	unif	0.6	0.9	0.0	400001	1	40	FALSE	1.0892620139202336e-11
1000000	6.2	prop	unif	0.7	0.9	0.0	300002	2	40	FALSE	7.749711983251473e-11
1000000	6.3	prop	unif	0.3	0.9	0.0	700001	1	40	FALSE	2.3518964553659316e-12
1000000	6.3	prop	unif	0.4	0.9	0.0	600002	2	40	FALSE	5.892175636290631e-12
1000000	6.3	prop	unif	0.5	0.9	0.0	500001	1	40	FALSE	5.9605653746075404e-12
1000000	6.3	prop	unif	0.6	0.9	0.0	400002	2	40	FALSE	1.4436452033805836e-11
1000000	6.3	prop	unif	0.7	0.9	0.0	300001	1	40	FALSE	4.6417980570367945e-11
1000000	6.4	prop	unif	0.3	0.9	0.0	700001	1	40	FALSE	3.580158391969235e-11
1000000	6.4	prop	unif	0.4	0.9	0.0	600002	2	40	FALSE	2.7342017538956043e-12
1000000	6.4	prop	unif	0.5	0.9	0.0	500001	1	40	FALSE	7.028155835087091e-12
1000000	6.4	prop	unif	0.6	0.9	0.0	400002	2	40	FALSE	3.585243213422018e-11
1000000	6.4	prop	unif	0.7	0.9	0.0	300001	1	40	FALSE	5.757971877073942e-11
1000000	6.5	prop	unif	0.3	0.9	0.0	700002	2	40	FALSE	1.5193180047390342e-11
1000000	6.5	prop	unif	0.4	0.9	0.0	600001	1	40	FALSE	6.335021396353113e-11
1000000	6.5	prop	unif	0.5	0.9	0.0	500001	1	40	FALSE	1.7208456881689926e-11
1000000	6.5	prop	unif	0.6	0.9	0.0	400001	1	40	FALSE	3.3652192144018045e-11
1000000	6.5	prop	unif	0.7	0.9	0.0	300002	2	40	FALSE	1.4234835532533907e-11
1000000	6.6	prop	unif	0.3	0.9	0.0	700001	1	40	FALSE	1.3043788271716039e-11
1000000	6.6	prop	unif	0.4	0.9	0.0	600001	1	40	FALSE	1.8120616118721955e-11
1000000	6.6	prop	unif	0.5	0.9	0.0	500001	1	40	FALSE	8.633094239485217e-13
1000000	6.6	prop	unif	0.6	0.9	0.0	400002	2	40	FALSE	9.452305604895628e-11
1000000	6.6	prop	unif	0.7	0.9	0.0	300002	2	40	FALSE	4.042410850502165e-11
1000000	6.7	prop	unif	0.3	0.9	0.0	700002	2	40	FALSE	3.0869751199702478e-12
1000000	6.7	prop	unif	0.4	0.9	0.0	600001	1	40	FALSE	3.710809437507123e-12
